,filepath,label,text,sentiment
0,data/MELD.Raw/train_audio/dia0_utt0.mp3,neutral,also I was the point person on my companys transition from the KL-5 to GR-6 system.,neutral
1,data/MELD.Raw/train_audio/dia0_utt1.mp3,neutral,You mustve had your hands full.,neutral
2,data/MELD.Raw/train_audio/dia0_utt2.mp3,neutral,That I did. That I did.,neutral
3,data/MELD.Raw/train_audio/dia0_utt3.mp3,neutral,So lets talk a little bit about your duties.,neutral
4,data/MELD.Raw/train_audio/dia0_utt4.mp3,surprise,My duties?  All right.,positive
5,data/MELD.Raw/train_audio/dia0_utt5.mp3,neutral,"Now youll be heading a whole division, so youll have a lot of duties.",neutral
6,data/MELD.Raw/train_audio/dia0_utt6.mp3,neutral,I see.,neutral
7,data/MELD.Raw/train_audio/dia0_utt7.mp3,neutral,But therell be perhaps 30 people under you so you can dump a certain amount on them.,neutral
8,data/MELD.Raw/train_audio/dia0_utt8.mp3,neutral,Good to know.,neutral
9,data/MELD.Raw/train_audio/dia0_utt9.mp3,neutral,We can go into detail,neutral
10,data/MELD.Raw/train_audio/dia0_utt10.mp3,fear,No dont I beg of you!,negative
11,data/MELD.Raw/train_audio/dia0_utt11.mp3,neutral,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",neutral
12,data/MELD.Raw/train_audio/dia0_utt12.mp3,surprise,Really?!,positive
13,data/MELD.Raw/train_audio/dia0_utt13.mp3,neutral,Absolutely.  You can relax,neutral
14,data/MELD.Raw/train_audio/dia1_utt0.mp3,surprise,But then who? The waitress I went out with last month?,negative
15,data/MELD.Raw/train_audio/dia1_utt1.mp3,sadness,You know? Forget it!,negative
16,data/MELD.Raw/train_audio/dia1_utt2.mp3,surprise,"No-no-no-no, no! Who, who were you talking about?",negative
17,data/MELD.Raw/train_audio/dia1_utt3.mp3,fear,"No, I-I-I-I don't, I actually don't know",negative
18,data/MELD.Raw/train_audio/dia1_utt4.mp3,neutral,Ok!,neutral
19,data/MELD.Raw/train_audio/dia1_utt5.mp3,neutral,"All right, well...",neutral
20,data/MELD.Raw/train_audio/dia1_utt8.mp3,neutral,"Yeah, sure!",neutral
21,data/MELD.Raw/train_audio/dia2_utt0.mp3,neutral,"Hey, Mon.",neutral
22,data/MELD.Raw/train_audio/dia2_utt1.mp3,neutral,Hey-hey-hey. You wanna hear something that sucks.,neutral
23,data/MELD.Raw/train_audio/dia2_utt2.mp3,joy,Do I ever.,positive
24,data/MELD.Raw/train_audio/dia2_utt3.mp3,sadness,Chris says theyre closing down the bar.,negative
25,data/MELD.Raw/train_audio/dia2_utt4.mp3,surprise,No way!,negative
